id,album_name,album_cover,artists_id,public_day
1,Positions (Deluxe),player/image/Positions (Deluxe).png,1,10/30/2020
2,30,player/image/30.png,2,11/21/2021
3,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- THE FINAL,player/image/BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- THE FINAL.png,3,8/17/2018
4,BORN PINK,player/image/BORN PINK.png,4,9/16/2022
5,dongvui harmony,player/image/dongvui harmony.png,5,11/9/2022
6,An Evening With Silk Sonic,player/image/An Evening With Silk Sonic.png,6,11/11/2021
7,Dear Evan Hansen (Original Motion Picture Soundtrack),player/image/Dear Evan Hansen (Original Motion Picture Soundtrack).png,7,9/24/2021
8,Night Visions (Expanded Edition / Super Deluxe),player/image/Night Visions (Expanded Edition Super Deluxe).png,8,9/9/2022
9,Man of the Woods,player/image/Man of the Woods.png,9,2/2/2018
10,Justice (The Complete Edition),player/image/Justice (The Complete Edition).png,10,12/8/2021
11,Blue Banisters,player/image/Blue Banisters.png,11,12/22/2021
12,Midnights (3am Edition),player/image/Midnights (3am Edition).png,12,12/22/2022
13,live from The Forum,player/image/live from The Forum.png,13,11/25/2022
14,Qua Khung Cửa Sổ,player/image/Qua Khung Cửa Sổ.png,14,5/5/2021
15,Gieo,player/image/Gieo.png,15,11/25/2022
16,Future Nostalgia (The Moonlight Edition),player/image/Future Nostalgia (The Moonlight Edition).png,16,2/11/2021
17,最偉大的作品,player/image/最偉大的作品.png,17,7/14/2022
18,"LET’S JUST SAY THE WORLD ENDED A WEEK FROM NOW, WHAT WOULD YOU DO? (DELUXE)","player/image/LET S JUST SAY THE WORLD ENDED A WEEK FROM NOW, WHAT WOULD YOU DO (DELUXE).png",18,5/25/2022
19,"Wasteland, Baby!","player/image/Wasteland, Baby!.png",19,3/1/2019
20,Twelve Carat Toothache (Deluxe),player/image/Twelve Carat Toothache (Deluxe).png,20,6/7/2022
21,Luv(sic) Hexalogy,player/image/Luv(sic) Hexalogy.png,21,12/9/2015
22,Sky Tour (Original Motion Picture Soundtrack),player/image/Sky Tour (Original Motion Picture Soundtrack).png,22,6/12/2020
23,12,player/image/12.png,23,11/16/2020
24,Scenic Drive (The Tape),player/image/Scenic Drive (The Tape).png,24,12/3/2021
25,Epik High Is Here ? (Part 2),player/image/Epik High Is Here 下 (Part 2).png,25,2/14/2022
26,Give Or Take,player/image/Give Or Take.png,26,6/24/2022
27,Top Gun Maverick (Music From The Motion Picture),player/image/Top Gun Maverick (Music From The Motion Picture).png,27,5/27/2022
28,Thiên Thần Sa Ngã,player/image/Thiên Thần Sa Ngã.png,28,8/3/2018
29,Wild Dreams (Deluxe Edition),player/image/Wild Dreams (Deluxe Edition).png,29,11/26/2021
30,Những Bài Hát Dành Tặng,player/image/Những Bài Hát Dành Tặng.png,30,11/20/2021
31,Cry,player/image/Cry.png,31,10/25/2019
32,rapunzel,player/image/rapunzel.png,32,1/21/2022
33,5SOS5,player/image/5SOS5.png,33,9/23/2022
34,The Car,player/image/The Car.png,34,10/21/2022
